# Origin	Destination	menuOption menuTarget objectID	Items	Quests	Duration	Display info
# Arrivals land ON THE SHIP'S DECK (plane 1): the game leaves you there and the Cross						
# Gangplank row in transports.tsv is the step down to the dock. Origins stay dockside						
# (you charter by clicking the crewmember from the dock). Land's End has no gangplank						
# pair mapped yet, so it still lands dockside.						
# Fares are BASE fares. Cabin Fever halves every charter fare and the Ring of charos (a) halves
# again (a quarter with both); PathfinderConfig scales possession checks and the "N gp fare"
# label. Mos Le'Harmless rows were stored already-halved (the quest gates them) and were
# doubled back to base on 2026-09-07 so one rule covers every row.
# Aldarin						
1455 2968 0	2763 3238 1	Charter Trader Crewmember 1330	COINS=2500		6	Brimhaven
1455 2968 0	2792 3417 1	Charter Trader Crewmember 1330	COINS=2500		6	Catherby
1455 2968 0	1747 3136 1	Charter Trader Crewmember 1330	COINS=600		6	Civitas illa Fortis
1455 2968 0	2591 2851 1	Charter Trader Crewmember 1330	COINS=2100		6	Corsair Cove
1455 2968 0	1496 3403 0	Charter Trader Crewmember 1330	COINS=900		6	Land's End
1455 2968 0	3668 2931 1	Charter Trader Crewmember 1330	COINS=4700	Cabin Fever	6	Mos Le'Harmless
1455 2968 0	2957 3158 1	Charter Trader Crewmember 1330	COINS=3000		6	Musa Point
1455 2968 0	2674 3141 1	Charter Trader Crewmember 1330	COINS=2300		6	Port Khazard
1455 2968 0	3705 3503 1	Charter Trader Crewmember 1330	COINS=4500	Priest in Peril	6	Port Phasmatys
1455 2968 0	1811 3679 1	Charter Trader Crewmember 1330	COINS=1100		6	Port Piscarilius
1455 2968 0	3038 3189 1	Charter Trader Crewmember 1330	COINS=3100		6	Port Sarim
1455 2968 0	2142 3125 1	Charter Trader Crewmember 1330	COINS=3200	Regicide	6	Port Tyras
1455 2968 0	2157 3333 1	Charter Trader Crewmember 1330	COINS=1800	Song of the Elves	6	Prifddinas
1455 2968 0	2998 3032 1	Charter Trader Crewmember 1330	COINS=3100	The Grand Tree	6	Shipyard
						
# Brimhaven						
2760 3238 0	1458 2968 1	Charter Trader Crewmember 1330	COINS=2500		6	Aldarin
2760 3238 0	2792 3417 1	Charter Trader Crewmember 1330	COINS=460		6	Catherby
2760 3238 0	1747 3136 1	Charter Trader Crewmember 1330	COINS=2400		6	Civitas illa Fortis
2760 3238 0	2591 2851 1	Charter Trader Crewmember 1330	COINS=680		6	Corsair Cove
2760 3238 0	1496 3403 0	Charter Trader Crewmember 1330	COINS=2200		6	Land's End
2760 3238 0	3668 2931 1	Charter Trader Crewmember 1330	COINS=3900	Cabin Fever	6	Mos Le'Harmless
2760 3238 0	2957 3158 1	Charter Trader Crewmember 1330	COINS=480		6	Musa Point
2760 3238 0	2674 3141 1	Charter Trader Crewmember 1330	COINS=400		6	Port Khazard
2760 3238 0	3705 3503 1	Charter Trader Crewmember 1330	COINS=2900	Priest in Peril	6	Port Phasmatys
2760 3238 0	1811 3679 1	Charter Trader Crewmember 1330	COINS=2000		6	Port Piscarilius
2760 3238 0	3038 3189 1	Charter Trader Crewmember 1330	COINS=1600		6	Port Sarim
2760 3238 0	2142 3125 1	Charter Trader Crewmember 1330	COINS=3200	Regicide	6	Port Tyras
2760 3238 0	2157 3333 1	Charter Trader Crewmember 1330	COINS=3450	Song of the Elves	6	Prifddinas
2760 3238 0	2998 3032 1	Charter Trader Crewmember 1330	COINS=400	The Grand Tree	6	Shipyard
2760 3238 0	1514 2968 1	Charter Trader Crewmember 1330	COINS=1250		6	Sunset Coast
						
# Catherby						
2792 3414 0	1458 2968 1	Charter Trader Crewmember 1330	COINS=2500		6	Aldarin
2792 3414 0	2763 3238 1	Charter Trader Crewmember 1330	COINS=480		6	Brimhaven
