# Origin	Destination	menuOption menuTarget objectID	Skills	Items	Quests	Varbits	VarPlayers	Duration	Display info	Note	Meta
# Tutorial Island									
3097 3107 0	3098 3107 0	Open Door 9398						1	
3098 3107 0	3097 3107 0	Open Door 9398						1	
3090 3092 0	3089 3092 0	Open Gate 9470						1	
3089 3092 0	3090 3092 0	Open Gate 9470						1	
3090 3091 0	3089 3091 0	Open Gate 9708						1	
3089 3091 0	3090 3091 0	Open Gate 9708						1	
3079 3084 0	3078 3084 0	Open Door 9709						1	
3078 3084 0	3079 3084 0	Open Door 9709						1	
3073 3090 0	3072 3090 0	Open Door 9710						1	
3072 3090 0	3073 3090 0	Open Door 9710						1	
3086 3126 0	3086 3125 0	Open Door 9716						1	
3086 3125 0	3086 3126 0	Open Door 9716						1	
3084 3125 0	3084 3124 1	Climb-up Staircase 16671						1	
3084 3124 1	3083 3123 0	Climb-down Staircase 16673						1	
3084 3124 0	3084 3124 1	Climb-up Staircase 16671						1	
3083 3123 0	3084 3124 1	Climb-up Staircase 16671						1	
3088 3120 0	3088 9520 0	Climb-down Ladder 9726						2	
3088 9520 0	3088 3120 0	Climb-up Ladder 9725						2	
3094 9503 0	3095 9503 0	Open Gate 9717						1	
3095 9503 0	3094 9503 0	Open Gate 9717						1	
3094 9502 0	3095 9502 0	Open Gate 9718						1	
3095 9502 0	3094 9502 0	Open Gate 9718						1	
3111 9519 0	3110 9519 0	Open Gate 9720						1	
3110 9519 0	3111 9519 0	Open Gate 9720						1	
3111 9518 0	3110 9518 0	Open Gate 9719						1	
3110 9518 0	3111 9518 0	Open Gate 9719						1	
3111 9525 0	3111 3125 0	Climb-up Ladder 9727						2	
3111 3125 0	3111 9525 0	Climb-down Ladder 9728						2	
3112 9526 0	3112 3126 0	Climb-up Ladder 9727						2	
3112 3126 0	3112 9526 0	Climb-down Ladder 9728						2	
3111 9527 0	3111 3127 0	Climb-up Ladder 9727						2	
3111 3127 0	3111 9527 0	Climb-down Ladder 9728						2	
3110 9526 0	3110 3126 0	Climb-up Ladder 9727						2	
3110 3126 0	3110 9526 0	Climb-down Ladder 9728						2	
3116 3125 0	3116 3125 1	Climb-up Ladder 16683						2	
3116 3125 1	3116 3125 0	Climb-down Ladder 16679						2	
3117 3126 0	3117 3126 1	Climb-up Ladder 16683						2	
3117 3126 1	3117 3126 0	Climb-down Ladder 16679						2	
3116 3127 0	3116 3127 1	Climb-up Ladder 16683						2	
3116 3127 1	3116 3127 0	Climb-down Ladder 16679						2	
3115 3126 0	3115 3126 1	Climb-up Ladder 16683						2	
3115 3126 1	3115 3126 0	Climb-down Ladder 16679						2	
3123 3127 0	3123 3127 1	Climb-up Ladder 16683						2	
3123 3127 1	3123 3127 0	Climb-down Ladder 16679						2	
3124 3128 0	3124 3128 1	Climb-up Ladder 16683						2	
3124 3128 1	3124 3128 0	Climb-down Ladder 16679						2	
3123 3129 0	3123 3129 1	Climb-up Ladder 16683						2	
3123 3129 1	3123 3129 0	Climb-down Ladder 16679						2	
3122 3128 0	3122 3128 1	Climb-up Ladder 16683						2	
3122 3128 1	3122 3128 0	Climb-down Ladder 16679						2	
3124 3124 0	3125 3124 0	Open Door 9721						1	
3125 3124 0	3124 3124 0	Open Door 9721						1	
3129 3124 0	3130 3124 0	Open Door 9722						1	
3130 3124 0	3129 3124 0	Open Door 9722						1	
3117 3107 0	3117 3107 1	Climb-up Staircase 16671						1	
3117 3107 1	3116 3106 0	Climb-down Staircase 16673						1	
3116 3106 0	3117 3107 1	Climb-up Staircase 16671						1	
3122 3103 0	3122 3102 0	Open Door 9723						1	
3122 3102 0	3122 3103 0	Open Door 9723						1	
3139 3079 0	3139 3079 1	Climb-up Ladder 16683						2	
3139 3079 1	3139 3079 0	Climb-down Ladder 16679						2	
3140 3078 0	3140 3078 1	Climb-up Ladder 16683						2	
3140 3078 1	3140 3078 0	Climb-down Ladder 16679						2	
3139 3077 0	3139 3077 1	Climb-up Ladder 16683						2	
3139 3077 1	3139 3077 0	Climb-down Ladder 16679						2	
3138 3078 0	3138 3078 1	Climb-up Ladder 16683						2	
3138 3078 1	3138 3078 0	Climb-down Ladder 16679						2	
									
# Lumbridge									
3205 3228 0	3206 3229 1	Climb-up Staircase 16671						1	
3206 3229 1	3205 3228 0	Climb-down Staircase 16672						1	
3206 3229 0	3206 3229 1	Climb-up Staircase 16671						1	
3205 3228 1	3205 3228 0	Climb-down Staircase 16672						1	
3206 3229 1	3206 3229 2	Climb-up Staircase 16672						1	
3206 3229 2	3205 3228 1	Climb-down Staircase 16673						1	
3205 3228 1	3206 3229 2	Climb-up Staircase 16672						1	
3205 3209 1	3206 3208 0	Climb-down Staircase 16672						1	
3206 3208 0	3205 3209 1	Climb-up Staircase 16671						1	
3206 3208 1	3206 3208 0	Climb-down Staircase 16672						1	
3205 3209 0	3205 3209 1	Climb-up Staircase 16671						1	
3205 3209 1	3205 3209 2	Climb-up Staircase 16672						1	
3205 3209 2	3206 3208 1	Climb-down Staircase 16673						1	
3206 3208 1	3205 3209 2	Climb-up Staircase 16672						1	
3205 3228 0	3206 3229 2	Top-floor Staircase 56230						1	
3206 3229 0	3206 3229 2	Top-floor Staircase 56230						1	
3206 3229 2	3205 3228 0	Bottom-floor Staircase 56231						1	
3206 3208 0	3205 3209 2	Top-floor Staircase 56230						1	
3205 3209 0	3205 3209 2	Top-floor Staircase 56230						1	
3205 3209 2	3206 3208 0	Bottom-floor Staircase 56231						1	
3210 3216 0	3210 9616 0	Climb-down Trapdoor 14880							
3210 9616 0	3210 3216 0	Climb-up Ladder 17385						2	
3209 9617 0	3209 3217 0	Climb-up Ladder 17385						2	
3209 9615 0	3209 3215 0	Climb-up Ladder 17385						2	
3208 9616 0	3208 3216 0	Climb-up Ladder 17385						2	
3213 3221 0	3212 3221 0	Open Large door 12349						1	
3212 3221 0	3213 3221 0	Open Large door 12349						1	
3213 3222 0	3212 3222 0	Open Large door 12350						1	
3212 3222 0	3213 3222 0	Open Large door 12350						1	
3207 3218 0	3207 3217 0	Open Door 12348						1	
3207 3217 0	3207 3218 0	Open Door 12348						1	
3228 3213 0	3228 3213 1	Climb-up Ladder 16683						2	
3228 3213 1	3228 3213 0	Climb-down Ladder 16684						2	
3229 3214 0	3229 3214 1	Climb-up Ladder 16683						2	
3229 3214 1	3229 3214 0	Climb-down Ladder 16684						2	
3230 3213 0	3230 3213 1	Climb-up Ladder 16683						2	
3230 3213 1	3230 3213 0	Climb-down Ladder 16684						2	
3229 3212 0	3229 3212 1	Climb-up Ladder 16683						2	
3229 3212 1	3229 3212 0	Climb-down Ladder 16684						2	
3229 3212 1	3229 3212 2	Climb-up Ladder 16684						2	
3228 3213 2	3228 3213 1	Climb-down Ladder 16679						2	
3228 3213 1	3228 3213 2	Climb-up Ladder 16684						2	
3229 3214 2	3229 3214 1	Climb-down Ladder 16679						2	
3229 3214 1	3229 3214 2	Climb-up Ladder 16684						2	
3230 3213 2	3230 3213 1	Climb-down Ladder 16679						2	
3230 3213 1	3230 3213 2	Climb-up Ladder 16684						2	
3229 3212 2	3229 3212 1	Climb-down Ladder 16679						2	
3229 3225 2	3229 3225 1	Climb-down Ladder 16679						2	
3229 3225 1	3229 3225 2	Climb-up Ladder 16684						2	
3228 3224 2	3228 3224 1	Climb-down Ladder 16679						2	
3228 3224 1	3228 3224 2	Climb-up Ladder 16684						2	
3229 3223 2	3229 3223 1	Climb-down Ladder 16679						2	
3229 3223 1	3229 3223 2	Climb-up Ladder 16684						2	
3230 3224 2	3230 3224 1	Climb-down Ladder 16679						2	
3230 3224 1	3230 3224 2	Climb-up Ladder 16684						2	
3230 3224 1	3230 3224 0	Climb-down Ladder 16684						2	
3230 3224 0	3230 3224 1	Climb-up Ladder 16683						2	
3229 3223 0	3229 3223 1	Climb-up Ladder 16683						2	
3228 3224 0	3228 3224 1	Climb-up Ladder 16683						2	
3228 3224 1	3228 3224 0	Climb-down Ladder 16684						2	
3229 3223 1	3229 3223 0	Climb-down Ladder 16684						2	
3229 3225 0	3229 3225 1	Climb-up Ladder 16683						2	
3229 3225 1	3229 3225 0	Climb-down Ladder 16684						2	
3211 3243 1	3211 3243 0	Climb-down Ladder 16679						2	
3211 3243 0	3211 3243 1	Climb-up Ladder 16683						2	
3224 9604 0	3224 9600 0	Squeeze-through Hole 6912				538=1		4	
3224 9600 0	3224 9604 0	Squeeze-through Hole 6912				538=1		4	
									
# Lumbridge swamp									
3169 3171 0	3169 9571 0	Climb-down Dark hole 5947						2	
3169 9571 0	3169 3171 0	Climb Climbing rope 5946						2	
3168 3172 0	3168 9572 0	Climb-down Dark hole 5947						2	
3168 9572 0	3168 3172 0	Climb Climbing rope 5946						2	
3170 3172 0	3170 9572 0	Climb-down Dark hole 5947						2	
3170 9572 0	3170 3172 0	Climb Climbing rope 5946						2	
3169 3173 0	3167 9573 0	Climb-down Dark hole 5947						2	
									
# Lumbridge Swamp Caves									
3225 9542 0	3219 9532 2	Enter Tunnel 6659						2	
3226 9542 0	3219 9532 2	Enter Tunnel 6659						2	
3227 9542 0	3219 9532 2	Enter Tunnel 6659						2	
3218 9532 2	3226 9542 0	Enter Tunnel 6658						2	
3219 9532 2	3226 9542 0	Enter Tunnel 6658						2	
3220 9532 2	3226 9542 0	Enter Tunnel 6658						2	
									
# Tears of Guthix									
3239 9525 2	3241 9525 2	Climb Rocks 6673						4	
3241 9525 2	3239 9525 2	Climb Rocks 6673						4	
3239 9524 2	3241 9524 2	Climb Rocks 6673						4	
3241 9524 2	3239 9524 2	Climb Rocks 6673						4	
3238 9497 2	3240 9497 2	Climb Rocks 6672						4	
3238 9498 2	3240 9498 2	Climb Rocks 6672						4	
3238 9499 2	3240 9499 2	Climb Rocks 6672						4	
									
# Farm between Lumbridge and Draynor									
3197 3278 0	3197 3275 0	Climb-over Stile 12982						6	
