# Origin	Destination	menuOption menuTarget objectID	Skills	Items	Quests	Duration	Display info
# Sailing (beta): board your own boat at a mooring point or port berth, sail,
# disembark at the destination. GENERATED by the tooling repo's
# SailingTransportRowsTest from the port-to-port sea matrix — do not edit by
# hand. Durations are PROVISIONAL (2 tiles/tick + 20 ticks overhead) until
# the speed calibration campaign; Sailing level requirements pending.
2059 2605 0	2095 3188 0	Board Mooring point 59834				322	Sailing: Wintumber Island → Lledrith Island
2059 2605 0	2079 3689 0	Board Mooring point 59834				588	Sailing: Wintumber Island → Buccaneers' Haven
2059 2605 0	3173 2368 0	Board Mooring point 59834				609	Sailing: Wintumber Island → The Summer Shore
2059 2605 0	3145 2824 0	Board Mooring point 59834				593	Sailing: Wintumber Island → Sea Spirit Dock
2059 2605 0	2143 3121 0	Board Mooring point 59834				290	Sailing: Wintumber Island → Port Tyras
2059 2605 0	2157 3325 0	Board Mooring point 59834				394	Sailing: Wintumber Island → Tirannwn Bight
2059 2605 0	2148 3531 0	Board Mooring point 59834				495	Sailing: Wintumber Island → Drumstick Isle
2059 2605 0	2151 3880 0	Board Mooring point 59834				678	Sailing: Wintumber Island → Lunar Isle
2059 2605 0	2193 2319 0	Board Mooring point 59834				176	Sailing: Wintumber Island → Sunbleak Island
2059 2605 0	1201 2733 0	Board Mooring point 59834				463	Sailing: Wintumber Island → Laguna Aurorae
2059 2605 0	2220 3466 0	Board Mooring point 59834				500	Sailing: Wintumber Island → Ynysdail
2059 2605 0	2282 2821 0	Board Mooring point 59834				196	Sailing: Wintumber Island → 2282,2821
2059 2605 0	3353 2215 0	Board Mooring point 59834				717	Sailing: Wintumber Island → The Little Pearl
2059 2605 0	2344 2268 0	Board Mooring point 59834				245	Sailing: Wintumber Island → Rainbow's End
2059 2605 0	2320 2774 0	Board Mooring point 59834				179	Sailing: Wintumber Island → Tear of the Soul
2059 2605 0	2305 3689 0	Board Mooring point 59834				603	Sailing: Wintumber Island → Piscatoris bank
2059 2605 0	2310 3781 0	Board Mooring point 59834				643	Sailing: Wintumber Island → Neitiznot
2059 2605 0	2411 3781 0	Board Mooring point 59834				676	Sailing: Wintumber Island → Jatizso
2059 2605 0	2467 2718 0	Board Mooring point 59834				241	Sailing: Wintumber Island → Anglers' Retreat
2059 2605 0	1451 2969 0	Board Mooring point 59834				378	Sailing: Wintumber Island → Aldarin
2059 2605 0	2532 2531 0	Board Mooring point 59834				278	Sailing: Wintumber Island → Isle of Bones
2059 2605 0	1513 2973 0	Board Mooring point 59834				354	Sailing: Wintumber Island → Sunset Coast
2059 2605 0	1506 3402 0	Board Mooring point 59834				541	Sailing: Wintumber Island → Lands End
